"CubeId";"snboffzisa"
"PublishingDate";"2023-10-23 09:00"

"Date";"D0";"Value"
"2000-01";"LZ";
"2000-02";"LZ";
"2000-03";"LZ";
"2000-04";"LZ";
"2000-05";"LZ";
"2000-06";"LZ";
"2000-07";"LZ";
"2000-08";"LZ";
"2000-09";"LZ";
"2000-10";"LZ";
"2000-11";"LZ";
"2000-12";"LZ";
"2001-01";"LZ";
"2001-02";"LZ";
"2001-03";"LZ";
"2001-04";"LZ";
"2001-05";"LZ";
"2001-06";"LZ";
"2001-07";"LZ";
"2001-08";"LZ";
"2001-09";"LZ";
"2001-10";"LZ";
"2001-11";"LZ";
"2001-12";"LZ";
"2002-01";"LZ";
"2002-02";"LZ";
"2002-03";"LZ";
"2002-04";"LZ";
"2002-05";"LZ";
"2002-06";"LZ";
"2002-07";"LZ";
"2002-08";"LZ";
"2002-09";"LZ";
"2002-10";"LZ";
"2002-11";"LZ";
"2002-12";"LZ";
"2003-01";"LZ";
"2003-02";"LZ";
"2003-03";"LZ";
"2003-04";"LZ";
"2003-05";"LZ";
"2003-06";"LZ";
"2003-07";"LZ";
"2003-08";"LZ";
"2003-09";"LZ";
"2003-10";"LZ";
"2003-11";"LZ";
"2003-12";"LZ";
"2004-01";"LZ";
"2004-02";"LZ";
"2004-03";"LZ";
"2004-04";"LZ";
"2004-05";"LZ";
"2004-06";"LZ";
"2004-07";"LZ";
"2004-08";"LZ";
"2004-09";"LZ";
"2004-10";"LZ";
"2004-11";"LZ";
"2004-12";"LZ";
"2005-01";"LZ";
"2005-02";"LZ";
"2005-03";"LZ";
"2005-04";"LZ";
"2005-05";"LZ";
"2005-06";"LZ";
"2005-07";"LZ";
"2005-08";"LZ";
"2005-09";"LZ";
"2005-10";"LZ";
"2005-11";"LZ";
"2005-12";"LZ";
"2006-01";"LZ";
"2006-02";"LZ";
"2006-03";"LZ";
"2006-04";"LZ";
"2006-05";"LZ";
"2006-06";"LZ";
"2006-07";"LZ";
"2006-08";"LZ";
"2006-09";"LZ";
"2006-10";"LZ";
"2006-11";"LZ";
"2006-12";"LZ";
"2007-01";"LZ";
"2007-02";"LZ";
"2007-03";"LZ";
"2007-04";"LZ";
"2007-05";"LZ";
"2007-06";"LZ";
"2007-07";"LZ";
"2007-08";"LZ";
"2007-09";"LZ";
"2007-10";"LZ";
"2007-11";"LZ";
"2007-12";"LZ";
"2008-01";"LZ";
"2008-02";"LZ";
"2008-03";"LZ";
"2008-04";"LZ";
"2008-05";"LZ";
"2008-06";"LZ";
"2008-07";"LZ";
"2008-08";"LZ";
"2008-09";"LZ";
"2008-10";"LZ";
"2008-11";"LZ";
"2008-12";"LZ";
"2009-01";"LZ";
"2009-02";"LZ";
"2009-03";"LZ";
"2009-04";"LZ";
"2009-05";"LZ";
"2009-06";"LZ";
"2009-07";"LZ";
"2009-08";"LZ";
"2009-09";"LZ";
"2009-10";"LZ";
"2009-11";"LZ";
"2009-12";"LZ";
"2010-01";"LZ";
"2010-02";"LZ";
"2010-03";"LZ";
"2010-04";"LZ";
"2010-05";"LZ";
"2010-06";"LZ";
"2010-07";"LZ";
"2010-08";"LZ";
"2010-09";"LZ";
"2010-10";"LZ";
"2010-11";"LZ";
"2010-12";"LZ";
"2011-01";"LZ";
"2011-02";"LZ";
"2011-03";"LZ";
"2011-04";"LZ";
"2011-05";"LZ";
"2011-06";"LZ";
"2011-07";"LZ";
"2011-08";"LZ";
"2011-09";"LZ";
"2011-10";"LZ";
