"CubeId";"zikrepro"
"PublishingDate";"2023-10-02 14:30"

This table will be called deposit_rate, and it is the actual deposit rate data.

The headers should be Date/Value. The two middle columns are classifiers and can be deleted in the processing stage.

"Date";"D0";"D1";"Value"
"1999-12";"M";"S1";"1.19"
"2000-01";"M";"S1";"1.19"
"2000-02";"M";"S1";"1.27"
"2000-03";"M";"S1";"1.35"
"2000-04";"M";"S1";"1.35"
"2000-05";"M";"S1";"1.36"
"2000-06";"M";"S1";"1.37"
"2000-07";"M";"S1";"1.4"
"2000-08";"M";"S1";"1.51"
"2000-09";"M";"S1";"1.54"
"2000-10";"M";"S1";"1.55"
"2000-11";"M";"S1";"1.55"
"2000-12";"M";"S1";"1.56"
"2001-01";"M";"S1";"1.58"
"2001-02";"M";"S1";"1.58"
"2001-03";"M";"S1";"1.58"
"2001-04";"M";"S1";"1.59"
"2001-05";"M";"S1";"1.57"
"2001-06";"M";"S1";"1.54"
"2001-07";"M";"S1";"1.49"
"2001-08";"M";"S1";"1.45"
"2001-09";"M";"S1";"1.43"
"2001-10";"M";"S1";"1.42"
"2001-11";"M";"S1";"1.38"
"2001-12";"M";"S1";"1.34"
"2002-01";"M";"S1";"1.29"
"2002-02";"M";"S1";"1.28"
"2002-03";"M";"S1";"1.25"
"2002-04";"M";"S1";"1.25"
"2002-05";"M";"S1";"1.24"
"2002-06";"M";"S1";"1.23"
"2002-07";"M";"S1";"1.24"
"2002-08";"M";"S1";"1.2"
"2002-09";"M";"S1";"1.08"
"2002-10";"M";"S1";"1.06"
"2002-11";"M";"S1";"1.04"
"2002-12";"M";"S1";"1.03"
"2003-01";"M";"S1";"0.88"
"2003-02";"M";"S1";"0.82"
"2003-03";"M";"S1";"0.8"
"2003-04";"M";"S1";"0.67"
"2003-05";"M";"S1";"0.61"
"2003-06";"M";"S1";"0.57"
"2003-07";"M";"S1";"0.57"
"2003-08";"M";"S1";"0.53"
"2003-09";"M";"S1";"0.53"
"2003-10";"M";"S1";"0.53"
"2003-11";"M";"S1";"0.52"
"2003-12";"M";"S1";"0.53"
"2004-01";"M";"S1";"0.52"
"2004-02";"M";"S1";"0.52"
"2004-03";"M";"S1";"0.52"
"2004-04";"M";"S1";"0.51"
"2004-05";"M";"S1";"0.51"
"2004-06";"M";"S1";"0.51"
"2004-07";"M";"S1";"0.51"
"2004-08";"M";"S1";"0.51"
"2004-09";"M";"S1";"0.51"
"2004-10";"M";"S1";"0.51"
"2004-11";"M";"S1";"0.51"
"2004-12";"M";"S1";"0.51"
"2005-01";"M";"S1";"0.5"
