date,policy,deposit,hiking,hike_period,deposit_rising
2000-01-01,1.75,1.19,True,hiking period 1,True
2000-02-01,1.75,1.19,True,hiking period 1,True
2000-03-01,2.2023809523809526,1.27,True,hiking period 1,True
2000-04-01,2.4782608695652173,1.35,True,hiking period 1,True
2000-05-01,3.0,1.35,True,hiking period 1,True
2000-06-01,3.0,1.36,True,hiking period 1,True
2000-07-01,3.272727272727273,1.37,True,hiking period 1,True
2000-08-01,3.5,1.4,True,hiking period 1,True
2000-09-01,3.5,1.51,False,,True
2000-10-01,3.5,1.54,False,,True
2000-11-01,3.5,1.55,False,,True
2000-12-01,3.5,1.55,False,,True
2001-01-01,3.5,1.56,False,,True
2001-02-01,3.5,1.58,False,,True
2001-03-01,3.5,1.58,False,,True
2001-04-01,3.4204545454545454,1.58,False,,True
2001-05-01,3.25,1.59,False,,True
2001-06-01,3.25,1.57,False,,False
2001-07-01,3.25,1.54,False,,False
2001-08-01,3.25,1.49,False,,False
2001-09-01,3.25,1.45,False,,False
2001-10-01,2.9,1.43,False,,False
2001-11-01,2.25,1.42,False,,False
2001-12-01,2.25,1.38,False,,False
2002-01-01,1.8452380952380953,1.34,False,,False
2002-02-01,1.75,1.29,False,,False
2002-03-01,1.75,1.28,False,,False
2002-04-01,1.75,1.25,False,,False
2002-05-01,1.75,1.25,False,,False
2002-06-01,1.2717391304347827,1.24,False,,False
2002-07-01,1.25,1.23,False,,False
2002-08-01,1.1630434782608696,1.24,False,,False
2002-09-01,0.75,1.2,False,,False
2002-10-01,0.75,1.08,False,,False
2002-11-01,0.75,1.06,False,,False
2002-12-01,0.75,1.04,False,,False
2003-01-01,0.75,1.03,False,,False
2003-02-01,0.75,0.88,False,,False
2003-03-01,0.75,0.82,False,,False
2003-04-01,0.42857142857142855,0.8,False,,False
2003-05-01,0.375,0.67,False,,False
2003-06-01,0.375,0.61,False,,False
2003-07-01,0.375,0.57,False,,False
2003-08-01,0.375,0.57,False,,False
2003-09-01,0.375,0.53,False,,False
2003-10-01,0.375,0.53,False,,False
2003-11-01,0.375,0.53,False,,False
2003-12-01,0.375,0.52,False,,False
2004-01-01,0.375,0.53,False,,False
2004-02-01,0.375,0.52,False,,False
2004-03-01,0.375,0.52,False,,False
2004-04-01,0.375,0.52,False,,False
2004-05-01,0.375,0.51,False,,False
2004-06-01,0.375,0.51,True,hiking period 2,True
2004-07-01,0.4318181818181818,0.51,True,hiking period 2,True
2004-08-01,0.5,0.51,True,hiking period 2,True
2004-09-01,0.5,0.51,True,hiking period 2,True
2004-10-01,0.625,0.51,True,hiking period 2,True
2004-11-01,0.75,0.51,True,hiking period 2,True
2004-12-01,0.75,0.51,False,,True
2005-01-01,0.75,0.51,False,,False
2005-02-01,0.75,0.5,False,,False
2005-03-01,0.75,0.5,False,,False
2005-04-01,0.75,0.5,False,,False
2005-05-01,0.75,0.5,False,,False
2005-06-01,0.75,0.5,False,,False
2005-07-01,0.75,0.5,False,,False
2005-08-01,0.75,0.49,False,,False
2005-09-01,0.75,0.48,False,,False
2005-10-01,0.75,0.46,False,,False
2005-11-01,0.75,0.46,False,,False
2005-12-01,0.75,0.46,True,hiking period 3,True
2006-01-01,0.8863636363636364,0.46,True,hiking period 3,True
2006-02-01,1.0,0.46,True,hiking period 3,True
2006-03-01,1.0,0.46,True,hiking period 3,True
2006-04-01,1.1304347826086956,0.46,True,hiking period 3,True
2006-05-01,1.25,0.46,True,hiking period 3,True
2006-06-01,1.25,0.46,True,hiking period 3,True
2006-07-01,1.3863636363636365,0.46,True,hiking period 3,True
2006-08-01,1.5,0.48,True,hiking period 3,True
2006-09-01,1.5,0.49,True,hiking period 3,True
2006-10-01,1.6428571428571428,0.5,True,hiking period 3,True
2006-11-01,1.75,0.5,True,hiking period 3,True
2006-12-01,1.75,0.51,True,hiking period 3,True
2007-01-01,1.8928571428571428,0.52,True,hiking period 3,True
2007-02-01,2.0,0.53,True,hiking period 3,True
2007-03-01,2.0,0.53,True,hiking period 3,True
2007-04-01,2.1363636363636362,0.54,True,hiking period 3,True
2007-05-01,2.25,0.55,True,hiking period 3,True
2007-06-01,2.25,0.55,True,hiking period 3,True
2007-07-01,2.392857142857143,0.56,True,hiking period 3,True
2007-08-01,2.5,0.67,True,hiking period 3,True
2007-09-01,2.5,0.7,True,hiking period 3,True
2007-10-01,2.65,0.72,True,hiking period 3,True
2007-11-01,2.75,0.74,True,hiking period 3,True
2007-12-01,2.75,0.74,False,,True
2008-01-01,2.75,0.77,False,,True
2008-02-01,2.75,0.82,False,,True
2008-03-01,2.75,0.84,False,,True
2008-04-01,2.75,0.87,False,,True
2008-05-01,2.75,0.89,False,,True
2008-06-01,2.75,0.91,False,,True
2008-07-01,2.75,0.92,False,,True
2008-08-01,2.75,0.91,False,,True
